ISSN,Título,Estrato,quadrienio
1734-4492,INTERNATIONAL JOURNAL OF APPLIED MECHANICS AND ENGINEERING,B2,2021-2024
1735-1472,INT J ENVIRON SCI TE,A2,2021-2024
1740-0562,INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING AND NETWORKING (PRINT),B2,2021-2024
1740-7494,ELECTRONIC GOVERNMENT,A4,2021-2024
1740-8709,MATERNAL AND CHILD NUTRITION,A1,2021-2024
1740-8873,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS TECHNOLOGIES AND APPLICATIONS,B3,2021-2024
1741-0401,THE INTERNATIONAL JOURNAL OF PRODUCTIVITY AND PERFORMANCE MANAGEMENT,A1,2021-2024
1741-0444,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING (ONLINE),A3,2021-2024
1741-1009,INTERNATIONAL JOURNAL OF KNOWLEDGE AND LEARNING,B1,2021-2024
1741-1068,INTERNATIONAL JOURNAL OF EMBEDDED SYSTEMS,B2,2021-2024
1741-2560,JOURNAL OF NEURAL ENGINEERING (PRINT),A2,2021-2024
1741-3842,JOURNAL OF PUBLIC HEALTH (PRINT),A1,2021-2024
1741-5047,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY,A4,2021-2024
1741-8100,INTERNATIONAL JOURNAL OF INTERNET MARKETING AND ADVERTISING,A3,2021-2024
1741-8461,INTERNATIONAL JOURNAL OF ELECTRONIC HEALTHCARE,B3,2021-2024
1741-847X,INTERNATIONAL JOURNAL OF GRID AND UTILITY COMPUTING,B2,2021-2024
1741-8488,INTERNATIONAL JOURNAL OF GRID AND UTILITY COMPUTING (ONLINE),B2,2021-2024
1741-8763,INTERNATIONAL JOURNAL OF BUSINESS PROCESS INTEGRATION AND MANAGEMENT,B4,2021-2024
1741-9182,INTERNATIONAL JOURNAL OF AGILE SYSTEMS AND MANAGEMENT,A3,2021-2024
1742-5468,JOURNAL OF STATISTICAL MECHANICS,A2,2021-2024
1742-6588,JOURNAL OF PHYSICS. CONFERENCE SERIES (PRINT),B4,2021-2024
1742-7185,INTERNATIONAL JOURNAL OF COMPUTATIONAL SCIENCE AND ENGINEERING,A3,2021-2024
1742-7371,INTERNATIONAL JOURNAL OF PERVASIVE COMPUTING AND COMMUNICATIONS (PRINT),A2,2021-2024
1742-7592,INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE (ONLINE),A4,2021-2024
1742-7967,INTERNATIONAL JOURNAL OF LOGISTICS SYSTEMS AND MANAGEMENT,A3,2021-2024
1742-7975,INTERNATIONAL JOURNAL OF LOGISTICS SYSTEMS AND MANAGEMENT,A3,2021-2024
1743-6095,THE JOURNAL OF SEXUAL MEDICINE (PRINT),A2,2021-2024
1743-761X,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND PLANNING (ONLINE),A4,2021-2024
1743-8187,INTERNATIONAL JOURNAL OF BUSINESS INTELLIGENCE AND DATA MINING,B2,2021-2024
1743-8225,INTERNATIONAL JOURNAL OF AD HOC AND UBIQUITOUS COMPUTING (IMPRESSO),B2,2021-2024
1743-8276,INTERNATIONAL JOURNAL OF KNOWLEDGE MANAGEMENT STUDIES (ONLINE),A4,2021-2024
1744-0084,INTERNATIONAL JOURNAL OF WEB INFORMATION SYSTEMS (PRINT),A4,2021-2024
1744-2621,"INTERNATIONAL JOURNAL OF METADATA, SEMANTICS AND ONTOLOGIES (PRINT)",A4,2021-2024
1744-263X,"INTERNATIONAL JOURNAL OF METADATA, SEMANTICS AND ONTOLOGIES",A4,2021-2024
1744-5485,INTERNATIONAL JOURNAL OF BIOINFORMATICS RESEARCH AND APPLICATIONS (PRINT),B3,2021-2024
1745-3054,JOURNAL OF VISUAL COMMUNICATION IN MEDICINE (PRINT),A1,2021-2024
1745-3933,ROYAL ASTRONOMICAL SOCIETY. MONTHLY NOTICES. LETTERS (ONLINE),A2,2021-2024
1745-6215,TRIALS (LONDON),A4,2021-2024
1746-0441,EXPERT OPINION ON DRUG DISCOVERY (PRINT),A1,2021-2024
1746-0913,FUTURE MICROBIOLOGY (PRINT),A4,2021-2024
1746-0972,INTERNATIONAL JOURNAL OF BUSINESS INFORMATION SYSTEMS (PRINT),B2,2021-2024
1746-0980,INTERNATIONAL JOURNAL OF BUSINESS INFORMATION SYSTEMS (ONLINE),B2,2021-2024
1746-1391,EUROPEAN JOURNAL OF SPORT SCIENCE (PRINT),A1,2021-2024
1746-4811,PLANT METHODS,A1,2021-2024
1746-8094,BIOMEDICAL SIGNAL PROCESSING AND CONTROL (PRINT),A1,2021-2024
1747-0285,CHEMICAL BIOLOGY & DRUG DESIGN,A3,2021-2024
1747-4930,INTERNATIONAL JOURNAL OF STROKE (IMPRESSO),A1,2021-2024
1747-7778,JOURNAL OF SIMULATION (PRINT),A2,2021-2024
1747-8405,INTERNATIONAL JOURNAL OF SECURITY AND NETWORKS (PRINT),B2,2021-2024
1748-0930,"INTERNATIONAL JOURNAL OF MINING, RECLAMATION AND ENVIRONMENT (PRINT)",A2,2021-2024
1748-1279,INTERNATIONAL JOURNAL OF SENSOR NETWORKS,B1,2021-2024
1748-1716,ACTA PHYSIOLOGICA (ONLINE),A1,2021-2024
1748-3115,DISABILITY AND REHABILITATION: ASSISTIVE TECHNOLOGY,A1,2021-2024
1748-5037,INTERNATIONAL JOURNAL OF INDUSTRIAL AND SYSTEMS ENGINEERING,A3,2021-2024
1748-5045,INTERNATIONAL JOURNAL OF INDUSTRIAL AND SYSTEMS ENGINEERING,A3,2021-2024
1748-670X,COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE (PRINT),C,2021-2024
1748-6718,COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE (ONLINE),C,2021-2024
1748-7188,ALGORITHMS FOR MOLECULAR BIOLOGY,A4,2021-2024
1749-7221,JOURNAL OF BRACHIAL PLEXUS AND PERIPHERAL NERVE INJURY,B2,2021-2024
1750-5836,INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,A2,2021-2024
1751-0252,INTERNATIONAL JOURNAL OF BUSINESS INNOVATION AND RESEARCH,A2,2021-2024
1751-1577,JOURNAL OF INFORMETRICS,A2,2021-2024
1751-1879,LEADERSHIP IN HEALTH SERVICES,A2,2021-2024
1751-648X,INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING AND APPLICATIONS,B3,2021-2024
1751-6498,INTERNATIONAL JOURNAL OF INNOVATIVE COMPUTING AND APPLICATIONS (ONLINE),B3,2021-2024
1751-8113,"JOURNAL OF PHYSICS. A, MATHEMATICAL AND THEORETICAL (PRINT)",A2,2021-2024
1751-8601,IET COMPUTERS & DIGITAL TECHNIQUES (PRINT),A4,2021-2024
1751-8652,IET CONTROL THEORY & APPLICATIONS (ONLINE),A2,2021-2024
1751-8687,"IET GENERATION, TRANSMISSION & DISTRIBUTION (PRINT)",A3,2021-2024
1751-8695,"IET GENERATION, TRANSMISSION & DISTRIBUTION (ONLINE)",A3,2021-2024
1751-8806,IET SOFTWARE (PRINT),A3,2021-2024
1751-956X,IET INTELLIGENT TRANSPORT SYSTEMS (PRINT),A1,2021-2024
1751-9659,IET IMAGE PROCESSING (PRINT),A3,2021-2024
1752-6418,INTERNATIONAL JOURNAL OF BIOMEDICAL ENGINEERING AND TECHNOLOGY,B3,2021-2024
1753-8378,INTERNATIONAL JOURNAL OF MANAGING PROJECTS IN BUSINESS,A2,2021-2024
1753-8432,INTERNATIONAL JOURNAL OF PROCUREMENT MANAGEMENT,A3,2021-2024
1754-2189,NATURE PROTOCOLS (PRINT),A1,2021-2024
1754-3266,"INTERNATIONAL JOURNAL OF FASHION DESIGN, TECHNOLOGY AND EDUCATION",A1,2021-2024
1754-3916,INTERNATIONAL JOURNAL OF COMMUNICATION NETWORKS AND DISTRIBUTED SYSTEMS (PRINT),B1,2021-2024
1754-890X,INTERNATIONAL JOURNAL OF MINING AND MINERAL ENGINEERING (PRINT),B1,2021-2024
1755-0203,THE REVIEW OF SYMBOLIC LOGIC,A1,2021-2024
1755-098X,MOLECULAR ECOLOGY RESOURCES (PRINT),A1,2021-2024
1755-4365,EPIDEMICS,A3,2021-2024
1755-4535,IET POWER ELECTRONICS (PRINT),A3,2021-2024
1755-5817,JOURNAL OF MANUFACTURING SCIENCE AND TECHNOLOGY,A2,2021-2024
1755-8301,INTERNATIONAL JOURNAL OF BIOMETRICS (PRINT),B2,2021-2024
1755-8913,INTERNATIONAL JOURNAL OF APPLIED MANAGEMENT SCIENCE (PRINT),B2,2021-2024
1756-0500,BMC RESEARCH NOTES,A2,2021-2024
1756-3305,PARASITES & VECTORS,A1,2021-2024
1756-7025,INTERNATIONAL JOURNAL OF INFORMATION AND DECISION SCIENCES,B2,2021-2024
1757-2223,INTERNATIONAL JOURNAL OF INNOVATION SCIENCE,A2,2021-2024
1757-5850,INTERNATIONAL JOURNAL OF MATHEMATICS IN OPERATIONAL RESEARCH,A3,2021-2024
1757-8779,INTERNATIONAL JOURNAL OF CRITICAL COMPUTER-BASED SYSTEMS (IJCCBS),B4,2021-2024
1757-9708,INTEGRATIVE BIOLOGY,A4,2021-2024
1758-5996,DIABETOLOGY & METABOLIC SYNDROME,A2,2021-2024
1758-6798,NATURE CLIMATE CHANGE,A1,2021-2024
1760-6101,MATHEMATICAL MODELLING OF NATURAL PHENOMENA,A3,2021-2024
1768-6733,QUANTITATIVE INFRARED THERMOGRAPHY JOURNAL,A2,2021-2024
1769-7298,M@PPEMONDE (ON LINE),B2,2021-2024
1782-348X,CONSTRUCTIVIST FOUNDATIONS,A4,2021-2024
1785-8860,ACTA POLYTECHNICA HUNGARICA,A4,2021-2024
1791-2377,JOURNAL OF ENGINEERING SCIENCE AND TECHNOLOGY REVIEW,B3,2021-2024
1793-351X,INTERNATIONAL JOURNAL OF SEMANTIC COMPUTING,A2,2021-2024
1793-6950,INTERNATIONAL JOURNAL OF INNOVATION AND TECHNOLOGY MANAGEMENT,A2,2021-2024
1793-9623,"INTERNATIONAL JOURNAL OF MODELING, SIMULATION, AND SCIENTIFIC COMPUTING",B2,2021-2024
1794-3108,REVISTA CRIMINALIDAD,B1,2021-2024
1804-1388,COMMUNICATIONS IN MATHEMATICS.,B1,2021-2024
1806-1362,REVISTA BRASILEIRA DE APRENDIZAGEM ABERTA E A DISTÂNCIA,A2,2021-2024
1806-2563,ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO),A4,2021-2024
1806-3365,SAÚDE COLETIVA,B1,2021-2024
1806-3756,JORNAL BRASILEIRO DE PNEUMOLOGIA (ONLINE),A2,2021-2024
1806-4892,REVISTA BRASILEIRA DE GESTÃO DE NEGÓCIOS (SÃO PAULO),A2,2021-2024
1806-6356,REVISTA FSA: PERIÓDICO CIENTÍFICO DA FACULDADE SANTO AGOSTINHO (PRINT),B2,2021-2024
1806-6690,REVISTA CIÊNCIA AGRONÔMICA (UFC. ONLINE),A3,2021-2024
1806-8944,CADERNOS DE FINANÇAS PÚBLICAS,B2,2021-2024
1806-9126,REVISTA BRASILEIRA DE ENSINO DE FÍSICA (ONLINE),A1,2021-2024
1806-9282,REVISTA DA ASSOCIAÇÃO MÉDICA BRASILEIRA,A3,2021-2024
1806-9304,REVISTA BRASILEIRA DE SAÚDE MATERNO INFANTIL,A4,2021-2024
1806-9592,ESTUDOS AVANÇADOS (USP),A1,2021-2024
1806-9649,GESTÃO & PRODUÇÃO,B1,2021-2024
1807-1600,HOLOS (NATAL. ONLINE),A1,2021-2024
1807-1627,REVISTA JURÍDICA DA UNIFIL,A4,2021-2024
1807-1775,JISTEM-JOURNAL OF INFORMATION SYSTEMS AND TECHNOLOGY MANAGEMENT,B1,2021-2024
1807-1953,JICS. JOURNAL OF INTEGRATED CIRCUITS AND SYSTEMS (IMPRESSO),B1,2021-2024
1807-3980,INTERFACE TECNOLÓGICA (SÃO PAULO),B2,2021-2024
1807-4545,INFOCOMP,B3,2021-2024
1807-5908,SUSTAINABLE BUSINESS INTERNATIONAL JOURNAL,B4,2021-2024
1807-5932,"CLINICS (USP, IMPRESSO)",A2,2021-2024
1807-7692,BAR. BRAZILIAN ADMINISTRATION REVIEW,A2,2021-2024
1807-8095,MUNDOPM (CURITIBA),B4,2021-2024
1807-8648,ACTA SCIENTIARUM. HEALTH SCIENCES (ONLINE),B2,2021-2024
1807-8664,ACTA SCIENTIARUM. TECHNOLOGY (ONLINE),A4,2021-2024
1807-8893,EM QUESTÃO (UFRGS. IMPRESSO),A1,2021-2024
1807-8931,TEMÁTICA,B1,2021-2024
1807-975X,REVISTA HOSPITALIDADE,B1,2021-2024
1808-057X,REVISTA CONTABILIDADE & FINANÇAS (ONLINE),A2,2021-2024
1808-0936,RBC. REVISTA BRASILEIRA DE CARTOGRAFIA (ONLINE),B2,2021-2024
1808-2599,E-COMPÓS (BRASÍLIA),A1,2021-2024
1808-3536,LIINC EM REVISTA,A1,2021-2024
1808-5245,EM QUESTÃO,A1,2021-2024
1808-5377,INFODESIGN (SBDI. ONLINE),A2,2021-2024
1808-5687,REVISTA BRASILEIRA DE TERAPIAS COGNITIVAS (IMPRESSO),A4,2021-2024
1809-1636,VIVÊNCIAS (URI. ERECHIM),A3,2021-2024
1809-2276,REGE-REVISTA DE GESTÃO,A2,2021-2024
1809-3760,EDUCAÇÃO ON-LINE (PUCRJ),A4,2021-2024
1809-3876,REVISTA E-CURRICULUM (PUCSP),A1,2021-2024
1809-4406,ACTA ORTOPÉDICA BRASILEIRA,B2,2021-2024
1809-452X,REVISTA BRASILEIRA DE PSIQUIATRIA,A2,2021-2024
1809-5747,REVISTA CONTEMPORÂNEA DE EDUCAÇÃO,A4,2021-2024
1809-5771,REVISTA INTERAGIR,B3,2021-2024
1809-7286,INTERSABERES (FACINTER),A3,2021-2024
1809-8207,COLLOQUIUM HUMANARUM,A3,2021-2024
1810-2328,JOURNAL OF ENGINEERING THERMOPHYSICS,B1,2021-2024
1810-634X,REVISTA DE LA SOCIEDAD QUÍMICA DEL PERÚ,C,2021-2024
1815-5901,INGENIERÍA ENERGÉTICA,B2,2021-2024
1816-6075,JOURNAL OF SYSTEM AND MANAGEMENT SCIENCES,B1,2021-2024
1819-155X,INTERNATIONAL JOURNAL OF BIOLOGICAL CHEMISTRY,B3,2021-2024
1820-0214,COMPUTER SCIENCE AND INFORMATION SYSTEMS,B1,2021-2024
1824-2049,JOURNAL OF SCIENCE COMMUNICATION,A1,2021-2024
1826-9745,INTERACTION DESIGN AND ARCHITECTURE(S) JOURNAL,C,2021-2024
1827-1987,GEOSPATIAL HEALTH (TESTO STAMPATO),B1,2021-2024
1828-0447,INTERN EMERG MED,A1,2021-2024
1828-1427,VETERINARIA ITALIANA (ONLINE),A4,2021-2024
1836-9553,JOURNAL OF PHYSIOTHERAPY,A1,2021-2024
1845-6421,JOURNAL OF COMMUNICATIONS SOFTWARE AND SYSTEMS,B2,2021-2024
1847-7003,INTERNATIONAL JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING SYSTEMS,B3,2021-2024
1850-6666,REVISTA ELECTRÓNICA DE INVESTIGACIÓN EN EDUCACIÓN EN CIENCIAS (EN LÍNEA),A2,2021-2024
1850-9959,REVISTA IBEROAMERICANA DE TECNOLOGIA EN EDUCACIÓN Y EDUCACIÓN EN TECNOLOGÍA (EN LÍNEA),A1,2021-2024
1852-0006,PROYECCIÓN (MENDOZA. EN LÍNEA),B2,2021-2024
1852-4206,REVISTA ARGENTINA DE CIENCIAS DEL COMPORTAMIENTO,A4,2021-2024
1852-7175,REVISTA TRANSPORTE Y TERRITORIO,A4,2021-2024
1855-3966,ARS MATHEMATICA CONTEMPORANEA (PRINT),A3,2021-2024
1860-5974,LOGICAL METHODS IN COMPUTER SCIENCE,A4,2021-2024
1860-7187,CHEMMEDCHEM (INTERNET),A1,2021-2024
1861-1303,INTERNATIONAL JOURNAL OF ACTION RESEARCH,B1,2021-2024
1861-2032,JOURNAL ON DATA SEMANTICS,B2,2021-2024
1861-8200,JOURNAL OF REAL-TIME IMAGE PROCESSING (PRINT),A3,2021-2024
1861-8219,JOURNAL OF REAL-TIME IMAGE PROCESSING,A3,2021-2024
1861-9916,INTERNATIONAL JOURNAL OF ACTION RESEARCH,B1,2021-2024
1862-4472,OPTIMIZATION LETTERS (PRINT),A3,2021-2024
1862-5347,ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,A2,2021-2024
1863-0383,INTERNATIONAL JOURNAL: EMERGING TECHNOLOGIES IN LEARNING,A2,2021-2024
1863-1703,"SIGNAL, IMAGE AND VIDEO PROCESSING (PRINT)",A4,2021-2024
1863-1711,"SIGNAL, IMAGE AND VIDEO PROCESSING",A4,2021-2024
1863-2386,SERVICE ORIENTED COMPUTING AND APPLICATIONS,B1,2021-2024
1864-5909,EVOLUTIONARY INTELLIGENCE,A1,2021-2024
1865-0473,EARTH SCIENCE INFORMATICS (PRINT),A3,2021-2024
1865-0929,COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE,B1,2021-2024
1865-7923,INTERNATIONAL JOURNAL OF INTERACTIVE MOBILE TECHNOLOGIES,A3,2021-2024
1865-9284,MEMETIC COMPUTING,A1,2021-2024
1866-1505,OPERATIONAL RESEARCH,A1,2021-2024
1866-6280,ENVIRONMENTAL EARTH SCIENCES (PRINT),A2,2021-2024
1866-7511,ARABIAN JOURNAL OF GEOSCIENCES (PRINT),A1,2021-2024
1867-2949,MATHEMATICAL PROGRAMMING COMPUTATION,A1,2021-2024
1867-4828,JOURNAL OF INTERNET SERVICES AND APPLICATIONS,A3,2021-2024
1867-8548,ATMOSPHERIC MEASUREMENT TECHNIQUES,A2,2021-2024
1868-3967,ENERGY SYSTEMS,A3,2021-2024
1868-5137,JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING,A2,2021-2024
1868-6478,EVOLVING SYSTEMS,A2,2021-2024
1868-7083,CLINICAL EPIGENETICS,A2,2021-2024
1868-8071,INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS,A2,2021-2024
1869-0238,JOURNAL OF INTERNET SERVICES AND APPLICATIONS,A3,2021-2024
1869-5450,SOCIAL NETWORK ANALYSIS AND MINING,A1,2021-2024
1869-5469,SOCIAL NETWORK ANALYSIS AND MINING,A1,2021-2024
1869-7577,SATS: NORTHERN EUROPEAN JOURNAL OF PHILOSOPHY (ONLINE),A3,2021-2024
1871-4080,COGNITIVE NEURODYNAMICS,A2,2021-2024
1872-0234,JOURNAL OF INTEGRATED CIRCUITS AND SYSTEMS,B1,2021-2024
1872-2040,CHINESE JOURNAL OF ANALYTICAL CHEMISTRY (ONLINE),B1,2021-2024
1872-4973,FORENSIC SCIENCE INTERNATIONAL. GENETICS (PRINT),A1,2021-2024
1872-7565,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,A1,2021-2024
1873-2887,"CHAOS, SOLITONS & FRACTALS (ONLINE)",A1,2021-2024
1873-7951,INTERACTING WITH COMPUTERS (ONLINE),A3,2021-2024
1874-1746,THEORETICAL ECOLOGY,A4,2021-2024
1874-3919,JOURNAL OF PROTEOMICS (PRINT),A2,2021-2024
1874-4907,PHYSICAL COMMUNICATION (PRINT),A3,2021-2024
1874-8988,CHILD INDICATORS RESEARCH (ONLINE),A2,2021-2024
1875-4791,INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS,A2,2021-2024
1875-8533,APPLIED ONTOLOGY (ONLINE),A1,2021-2024
1875-9521,ENTERTAINMENT COMPUTING,A3,2021-2024
1876-1364,JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,A4,2021-2024
1876-1623,ADVANCES IN PROTEIN CHEMISTRY AND STRUCTURAL BIOLOGY,A3,2021-2024
1877-0533,SET-VALUED AND VARIATIONAL ANALYSIS: THEORY AND APPLICATIONS,A2,2021-2024
1877-3435,CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY (PRINT),A1,2021-2024
1877-5845,SPATIAL AND SPATIO-TEMPORAL EPIDEMIOLOGY,A4,2021-2024
1877-7171,JOURNAL OF PARKINSON'S DISEASE,A2,2021-2024
1877-7503,JOURNAL OF COMPUTATIONAL SCIENCE,A2,2021-2024
1877-959X,TICKS AND TICK-BORNE DISEASES,A1,2021-2024
1878-8750,WORLD NEUROSURGERY,A2,2021-2024
1879-2871,MUTATION RESEARCH. FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS (ONLINE),A4,2021-2024
1911-8066,JOURNAL OF RISK AND FINANCIAL MANAGEMENT (VERSÃO IMPRESSA),C,2021-2024
1911-8074,JOURNAL OF RISK AND FINANCIAL MANAGEMENT (VERSÃO DIGITAL),C,2021-2024
1916-9760,JOURNAL OF AGRICULTURAL SCIENCE,A3,2021-2024
1927-6974,ARTIFICIAL INTELLIGENCE RESEARCH,C,2021-2024
1929-0748,JMIR RESEARCH PROTOCOLS,A3,2021-2024
1929-7750,JOURNAL OF LEARNING ANALYTICS (ONLINE),A1,2021-2024
1930-0212,SPE RESERVOIR EVALUATION & ENGINEERING (ONLINE),A2,2021-2024
1930-1650,INTERNATIONAL JOURNAL OF INFORMATION SECURITY AND PRIVACY,B2,2021-2024
1931-3195,JOURNAL OF APPLIED REMOTE SENSING,A3,2021-2024
1931-7603,HERPETOLOGICAL CONSERVATION AND BIOLOGY,B2,2021-2024
1931-9401,APPLIED PHYSICS REVIEWS (APR),A1,2021-2024
1932-2968,JOURNAL OF DIABETES SCIENCE AND TECHNOLOGY,A2,2021-2024
1932-4537,IEEE TRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT,A2,2021-2024
1932-4545,IEEE TRANSACTIONS ON BIOMEDICAL CIRCUITS AND SYSTEMS,A1,2021-2024
1932-6157,THE ANNALS OF APPLIED STATISTICS,A1,2021-2024
1932-6203,PLOS ONE,A1,2021-2024
1932-8540,IEEE-RITA,A2,2021-2024
1934-8835,INTERNATIONAL JOURNAL OF ORGANIZATIONAL ANALYSIS (2005),A1,2021-2024
1935-2735,PLOS NEGLECTED TROPICAL DISEASES (ONLINE),A2,2021-2024
1935-3812,SWARM INTELLIGENCE,A4,2021-2024
1935-5688,INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS IN THE SERVICE SECTOR,B1,2021-2024
1935-9748,CURRENT REVIEWS IN MUSCULOSKELETAL MEDICINE,A1,2021-2024
1936-1610,JOURNAL OF APPLIED SECURITY RESEARCH,A2,2021-2024
1936-1955,ACM JOURNAL OF DATA AND INFORMATION QUALITY,A4,2021-2024
1936-6442,PEER-TO-PEER NETWORKING AND APPLICATIONS (PRINT),A2,2021-2024
1936-7228,ACM TRANSACTIONS ON ACCESSIBLE COMPUTING (TACCESS),A3,2021-2024
1936-7406,ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,A3,2021-2024
1936-9751,FOOD ANALYTICAL METHODS (PRINT),A2,2021-2024
1937-4151,IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,A2,2021-2024
1937-8831,REVISTA LATINOAMERICANA Y DEL CARIBE DE LA ASOCIACIÓN DE SISTEMAS DE INFORMACIÓN,B4,2021-2024
1937-9234,IEEE SYSTEMS JOURNAL,A1,2021-2024
1938-3673,JOURNAL OF LEUKOCYTE BIOLOGY (ONLINE),A2,2021-2024
1939-0068,WILEY INTERDISCIPLINARY REVIEWS. COMPUTATIONAL STATISTICS (ONLINE),A1,2021-2024
1939-1374,IEEE TRANSACTIONS ON SERVICES COMPUTING,A1,2021-2024
1939-1382,IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,A1,2021-2024
1939-1390,IEEE INTELLIGENT TRANSPORTATION SYSTEMS MAGAZINE,A2,2021-2024
1939-1404,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,A1,2021-2024
1939-3806,AUTISM RESEARCH,A1,2021-2024
1939-8018,"JOURNAL OF SIGNAL PROCESSING SYSTEMS FOR SIGNAL, IMAGE, AND VIDEO TECHNOLOGY",A3,2021-2024
1939-9170,ECOLOGY,A1,2021-2024
1940-087X,JOURNAL OF VISUALIZED EXPERIMENTS,B1,2021-2024
1941-6296,INTERNATIONAL JOURNAL OF DECISION SUPPORT SYSTEM TECHNOLOGY,B1,2021-2024
1941-8477,JOURNAL OF VIRTUAL WORLDS RESEARCH,B3,2021-2024
1942-0684,JOURNAL OF SOCIAL ENTREPRENEURSHIP,A1,2021-2024
1942-261X,INTERNATIONAL JOURNAL ON ADVANCES IN SYSTEMS AND MEASUREMENTS,C,2021-2024
1942-2628,INTERNATIONAL JOURNAL ON ADVANCES IN SOFTW,C,2021-2024
1942-2679,INTERNATIONAL JOURNAL ON ADVANCES IN INTELLIGENT SYSTEMS.,B4,2021-2024
1942-390X,INTERNATIONAL JOURNAL OF MOBILE HUMAN COMPUTER INTERACTION,B1,2021-2024
1942-4787,WILEY INTERDISCIPLINARY REVIEWS: DATA MINING AND KNOWLEDGE DISCOVERY,A1,2021-2024
1942-4795,WIRES DATA MINING AND KNOWLEDGE DISCOVERY,A1,2021-2024
1943-0620,JOURNAL OF OPTICAL COMMUNICATIONS AND NETWORKING (PRINT),A2,2021-2024
1943-0655,IEEE PHOTONICS JOURNAL,A3,2021-2024
1943-0663,IEEE EMBEDDED SYSTEMS LETTERS (IMPRESSO),A4,2021-2024
1944-1134,THE INTERNET PROTOCOL JOURNAL,B3,2021-2024
1944-3900,AIS TRANSACTIONS ON HUMAN-COMPUTER INTERACTION (ONLINE),B1,2021-2024
1944-3994,DESALINATION AND WATER TREATMENT (PRINT),B1,2021-2024
1944-8007,GEOPHYSICAL RESEARCH LETTERS,A1,2021-2024
1944-8244,ACS APPLIED MATERIALS & INTERFACES (PRINT),A1,2021-2024
1945-3116,JOURNAL OF SOFTWARE ENGINEERING AND APPLICATIONS (PRINT),B3,2021-2024
1945-7553,JOURNAL OF TESTING AND EVALUATION,B1,2021-2024
1946-2166,ARGUMENT & COMPUTATION,A1,2021-2024
1946-6226,ACM TRANSACTIONS ON COMPUTING EDUCATION,A1,2021-2024
1948-5182,WORLD JOURNAL OF HEPATOLOGY,A4,2021-2024
1949-3029,IEEE TRANSACTIONS ON SUSTAINABLE ENERGY,A1,2021-2024
1949-3045,IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,A1,2021-2024
1949-3053,IEEE TRANSACTIONS ON SMART GRID,A1,2021-2024
1949-8349,JOURNAL OF GRADUATE MEDICAL EDUCATION,A3,2021-2024
1951-6355,EUR. PHYS. J. SPECIAL TOPICS,A3,2021-2024
1951-6401,THE EUROPEAN PHYSICAL JOURNAL. SPECIAL TOPICS (ONLINE),A3,2021-2024
1958-9212,CONFINS (PARIS),A1,2021-2024
1958-9395,ANNALS OF TELECOMMUNICATIONS,A3,2021-2024
1972-2680,JOURNAL OF INFECTION IN DEVELOPING COUNTRIES,A4,2021-2024
1980-0258,ANAIS DA ACADEMIA PERNAMBUCANA DE CIÊNCIA AGRONÔMICA,B4,2021-2024
1980-0827,FÓRUM AMBIENTAL DA ALTA PAULISTA,B2,2021-2024
1980-220X,REVISTA DA ESCOLA DE ENFERMAGEM DA USP (ONLINE),A3,2021-2024
1980-2552,DIADORIM (RIO DE JANEIRO),A2,2021-2024
1980-265X,TEXTO & CONTEXTO ENFERMAGEM,A2,2021-2024
1980-4415,BOLEMA : BOLETIM DE EDUCAÇÃO MATEMÁTICA (ONLINE),A1,2021-2024
1980-4490,REVISTA TAMOIOS (ONLINE),A1,2021-2024
1980-5160,SISTEMAS & GESTÃO,B3,2021-2024
1980-5373,MATERIALS RESEARCH,A3,2021-2024
1980-5411,PRODUCTION,A4,2021-2024
